date,time,num_climbers
23/02/2021,15:30,6
23/02/2021,16:30,24
23/02/2021,17:30,48
23/02/2021,18:30,53
23/02/2021,19:30,66
23/02/2021,20:30,66
23/02/2021,21:30,27
24/02/2021,10:30,0
24/02/2021,11:30,2
24/02/2021,12:30,2
24/02/2021,13:30,2
24/02/2021,14:30,8
24/02/2021,15:30,8
24/02/2021,16:30,33
24/02/2021,17:30,40
24/02/2021,18:30,40
24/02/2021,19:30,51
24/02/2021,20:30,35
24/02/2021,21:30,18
25/02/2021,07:30,7
25/02/2021,08:30,5
25/02/2021,09:30,6
25/02/2021,10:30,6
25/02/2021,11:30,8
25/02/2021,12:30,8
25/02/2021,13:30,8
25/02/2021,14:30,9
25/02/2021,15:30,8
25/02/2021,16:30,8
25/02/2021,17:30,8
25/02/2021,18:30,44
25/02/2021,19:30,61
25/02/2021,20:30,43
25/02/2021,21:30,24
26/02/2021,10:30,12
26/02/2021,11:30,12
26/02/2021,12:30,18
26/02/2021,13:30,8
26/02/2021,14:30,9
26/02/2021,15:30,11
26/02/2021,16:30,11
26/02/2021,17:30,52
26/02/2021,18:30,73
26/02/2021,19:30,85
26/02/2021,20:30,45
26/02/2021,21:30,25
27/02/2021,09:30,19
27/02/2021,10:30,29
27/02/2021,11:30,33
27/02/2021,12:30,20
27/02/2021,13:30,24
27/02/2021,14:30,24
27/02/2021,15:30,51
27/02/2021,16:30,57
27/02/2021,17:30,53
27/02/2021,18:30,64
27/02/2021,19:30,32
27/02/2021,20:30,14
27/02/2021,21:30,9
